touch_id,customer_id,channel_id,touch_date,touch_type,landing_page,utm_campaign,conversion_date
touch_3789151,cust_770487,7,2023-02-24 00:00:00,content_download,/blog,,2023-04-25 00:00:00
touch_9959503,cust_770487,5,2023-03-26 00:00:00,demo_request,/features,,2023-04-25 00:00:00
touch_2073428,cust_770487,1,2023-04-25 00:00:00,demo_request,/demo,campaign_2,2023-04-25 00:00:00
touch_6615913,cust_542417,3,2023-01-20 00:00:00,form_submit,/pricing,campaign_30,2023-02-02 00:00:00
touch_2035350,cust_542417,5,2023-01-23 00:00:00,form_submit,/pricing,,2023-02-02 00:00:00
touch_7984811,cust_542417,4,2023-01-26 00:00:00,click,/home,,2023-02-02 00:00:00
touch_7180895,cust_542417,4,2023-01-29 00:00:00,demo_request,/demo,,2023-02-02 00:00:00
touch_3067916,cust_542417,1,2023-02-02 00:00:00,content_download,/blog,campaign_17,2023-02-02 00:00:00
touch_5546346,cust_331148,7,2024-02-22 00:00:00,form_submit,/home,,2024-04-04 00:00:00
touch_5558849,cust_331148,1,2024-03-03 00:00:00,visit,/demo,campaign_24,2024-04-04 00:00:00
touch_3499757,cust_331148,4,2024-03-14 00:00:00,click,/home,,2024-04-04 00:00:00
touch_8093553,cust_331148,1,2024-03-24 00:00:00,form_submit,/home,campaign_29,2024-04-04 00:00:00
touch_3666015,cust_331148,5,2024-04-04 00:00:00,demo_request,/demo,,2024-04-04 00:00:00
touch_6539664,cust_900581,4,2023-11-23 00:00:00,form_submit,/pricing,,2023-12-11 00:00:00
touch_4458330,cust_900581,4,2023-12-02 00:00:00,form_submit,/features,,2023-12-11 00:00:00
touch_3503192,cust_900581,5,2023-12-11 00:00:00,form_submit,/home,,2023-12-11 00:00:00
touch_7896234,cust_496922,5,2023-01-30 00:00:00,content_download,/case-studies,,2023-03-22 00:00:00
touch_6397278,cust_496922,6,2023-02-06 00:00:00,form_submit,/demo,,2023-03-22 00:00:00
touch_7144239,cust_496922,6,2023-02-13 00:00:00,demo_request,/demo,,2023-03-22 00:00:00
touch_5083365,cust_496922,7,2023-02-20 00:00:00,content_download,/home,,2023-03-22 00:00:00
touch_6412573,cust_496922,8,2023-02-28 00:00:00,click,/blog,,2023-03-22 00:00:00
touch_3397048,cust_496922,6,2023-03-07 00:00:00,form_submit,/case-studies,,2023-03-22 00:00:00
touch_1925152,cust_496922,5,2023-03-14 00:00:00,content_download,/case-studies,,2023-03-22 00:00:00
touch_6432673,cust_496922,4,2023-03-22 00:00:00,click,/case-studies,,2023-03-22 00:00:00
touch_5856597,cust_338968,1,2023-10-17 00:00:00,click,/case-studies,campaign_2,2023-10-24 00:00:00
touch_3647534,cust_338968,2,2023-10-18 00:00:00,form_submit,/demo,campaign_4,2023-10-24 00:00:00
touch_3028659,cust_338968,1,2023-10-19 00:00:00,click,/home,campaign_27,2023-10-24 00:00:00
touch_9291346,cust_338968,5,2023-10-20 00:00:00,content_download,/features,,2023-10-24 00:00:00
touch_1010029,cust_338968,1,2023-10-21 00:00:00,content_download,/home,campaign_10,2023-10-24 00:00:00
touch_8863701,cust_338968,7,2023-10-22 00:00:00,visit,/demo,,2023-10-24 00:00:00
touch_6465937,cust_338968,7,2023-10-24 00:00:00,visit,/demo,,2023-10-24 00:00:00
touch_1394507,cust_802729,4,2023-09-13 00:00:00,form_submit,/pricing,,2023-10-01 00:00:00
touch_2689327,cust_802729,4,2023-09-17 00:00:00,content_download,/case-studies,,2023-10-01 00:00:00
touch_7671280,cust_802729,4,2023-09-22 00:00:00,click,/pricing,,2023-10-01 00:00:00
touch_8355184,cust_802729,7,2023-09-26 00:00:00,visit,/pricing,,2023-10-01 00:00:00
touch_2205654,cust_802729,2,2023-10-01 00:00:00,content_download,/case-studies,campaign_15,2023-10-01 00:00:00
touch_8063338,cust_383060,5,2024-09-20 00:00:00,form_submit,/demo,,2024-10-17 00:00:00
touch_8021964,cust_383060,5,2024-10-17 00:00:00,visit,/features,,2024-10-17 00:00:00
touch_9596189,cust_520651,8,2023-08-05 00:00:00,click,/case-studies,,2023-10-02 00:00:00
touch_4425310,cust_520651,1,2023-08-14 00:00:00,content_download,/blog,campaign_2,2023-10-02 00:00:00
touch_2803540,cust_520651,3,2023-08-24 00:00:00,form_submit,/case-studies,campaign_45,2023-10-02 00:00:00
touch_4100148,cust_520651,3,2023-09-03 00:00:00,content_download,/home,campaign_16,2023-10-02 00:00:00
touch_8906508,cust_520651,2,2023-09-12 00:00:00,click,/home,campaign_9,2023-10-02 00:00:00
touch_1929841,cust_520651,1,2023-09-22 00:00:00,content_download,/demo,campaign_29,2023-10-02 00:00:00
touch_6418564,cust_520651,8,2023-10-02 00:00:00,form_submit,/case-studies,,2023-10-02 00:00:00
touch_3999094,cust_774079,2,2024-03-18 00:00:00,form_submit,/pricing,campaign_41,2024-04-14 00:00:00
touch_5656364,cust_479580,9,2023-06-23 00:00:00,click,/features,,2023-08-13 00:00:00
touch_3796166,cust_479580,1,2023-08-13 00:00:00,demo_request,/case-studies,campaign_28,2023-08-13 00:00:00
touch_1201772,cust_725380,10,2023-01-30 00:00:00,form_submit,/blog,,2023-03-07 00:00:00
touch_9712305,cust_725380,2,2023-03-07 00:00:00,visit,/features,campaign_29,2023-03-07 00:00:00
touch_7344538,cust_663054,2,2023-09-13 00:00:00,content_download,/blog,campaign_49,2023-10-01 00:00:00
touch_7456703,cust_663054,8,2023-09-19 00:00:00,form_submit,/features,,2023-10-01 00:00:00
touch_7245985,cust_663054,3,2023-09-25 00:00:00,click,/demo,campaign_8,2023-10-01 00:00:00
touch_1506208,cust_663054,2,2023-10-01 00:00:00,content_download,/home,campaign_48,2023-10-01 00:00:00
