payment_id,subscription_id,customer_id,amount,currency,payment_date,payment_method,status,created_at
pay_9271038,sub_767578,cust_770487,290,USD,2023-04-25,wire,succeeded,2023-04-25 00:00:00
pay_2645611,sub_767578,cust_770487,29,USD,2023-05-01,wire,succeeded,2023-05-01 00:00:00
pay_3474956,sub_767578,cust_770487,29,USD,2023-06-01,credit_card,succeeded,2023-06-01 00:00:00
pay_2419946,sub_767578,cust_770487,79,USD,2023-07-01,wire,succeeded,2023-07-01 00:00:00
pay_7379809,sub_589824,cust_542417,29,USD,2023-09-01,credit_card,succeeded,2023-09-01 00:00:00
pay_6684715,sub_589824,cust_542417,29,USD,2023-10-01,credit_card,succeeded,2023-10-01 00:00:00
pay_5726703,sub_589824,cust_542417,29,USD,2023-11-01,ach,succeeded,2023-11-01 00:00:00
pay_4131618,sub_589824,cust_542417,29,USD,2023-12-01,credit_card,succeeded,2023-12-01 00:00:00
pay_7118155,sub_589824,cust_542417,29,USD,2024-01-01,wire,succeeded,2024-01-01 00:00:00
pay_5119185,sub_589824,cust_542417,29,USD,2024-02-01,credit_card,succeeded,2024-02-01 00:00:00
pay_1582747,sub_589824,cust_542417,29,USD,2024-03-01,credit_card,succeeded,2024-03-01 00:00:00
pay_7137849,sub_589824,cust_542417,29,USD,2024-04-01,wire,succeeded,2024-04-01 00:00:00
pay_1469584,sub_589824,cust_542417,29,USD,2024-05-01,credit_card,succeeded,2024-05-01 00:00:00
pay_5480794,sub_589824,cust_542417,29,USD,2024-06-01,credit_card,succeeded,2024-06-01 00:00:00
pay_7549897,sub_589824,cust_542417,29,USD,2024-07-01,wire,succeeded,2024-07-01 00:00:00
pay_9378197,sub_589824,cust_542417,29,USD,2024-08-01,credit_card,succeeded,2024-08-01 00:00:00
pay_7733982,sub_589824,cust_542417,29,USD,2024-09-01,wire,succeeded,2024-09-01 00:00:00
pay_5500507,sub_589824,cust_542417,29,USD,2024-10-01,credit_card,succeeded,2024-10-01 00:00:00
pay_7048062,sub_589824,cust_542417,29,USD,2024-11-01,credit_card,succeeded,2024-11-01 00:00:00
pay_8922002,sub_589824,cust_542417,29,USD,2024-12-01,credit_card,succeeded,2024-12-01 00:00:00
pay_9435412,sub_127223,cust_331148,79,USD,2024-04-04,ach,succeeded,2024-04-04 00:00:00
pay_2066731,sub_127223,cust_331148,79,USD,2024-05-01,ach,succeeded,2024-05-01 00:00:00
pay_5703613,sub_127223,cust_331148,79,USD,2024-06-01,credit_card,succeeded,2024-06-01 00:00:00
pay_6758906,sub_127223,cust_331148,79,USD,2024-07-01,credit_card,succeeded,2024-07-01 00:00:00
pay_9983971,sub_127223,cust_331148,79,USD,2024-08-01,credit_card,succeeded,2024-08-01 00:00:00
pay_6139691,sub_127223,cust_331148,79,USD,2024-09-01,wire,succeeded,2024-09-01 00:00:00
pay_6732615,sub_908323,cust_496922,790,USD,2023-03-22,credit_card,succeeded,2023-03-22 00:00:00
pay_3392353,sub_908323,cust_496922,79,USD,2023-04-01,credit_card,succeeded,2023-04-01 00:00:00
pay_7227966,sub_908323,cust_496922,79,USD,2023-05-01,wire,succeeded,2023-05-01 00:00:00
pay_6068179,sub_908323,cust_496922,79,USD,2023-06-01,ach,succeeded,2023-06-01 00:00:00
pay_5018631,sub_908323,cust_496922,79,USD,2023-07-01,credit_card,succeeded,2023-07-01 00:00:00
pay_5633596,sub_908323,cust_496922,79,USD,2023-08-01,credit_card,succeeded,2023-08-01 00:00:00
pay_2990842,sub_908323,cust_496922,79,USD,2023-09-01,credit_card,succeeded,2023-09-01 00:00:00
pay_3055876,sub_908323,cust_496922,199,USD,2023-10-01,credit_card,succeeded,2023-10-01 00:00:00
pay_5442135,sub_908323,cust_496922,199,USD,2023-11-01,wire,succeeded,2023-11-01 00:00:00
pay_5157601,sub_908323,cust_496922,199,USD,2023-12-01,credit_card,succeeded,2023-12-01 00:00:00
pay_2951927,sub_908323,cust_496922,199,USD,2024-01-01,credit_card,succeeded,2024-01-01 00:00:00
pay_6183258,sub_908323,cust_496922,199,USD,2024-02-01,credit_card,succeeded,2024-02-01 00:00:00
pay_1936781,sub_908323,cust_496922,1990,USD,2024-03-01,ach,succeeded,2024-03-01 00:00:00
pay_4691167,sub_908323,cust_496922,199,USD,2024-04-01,ach,succeeded,2024-04-01 00:00:00
pay_1303197,sub_908323,cust_496922,199,USD,2024-05-01,credit_card,succeeded,2024-05-01 00:00:00
pay_3046517,sub_908323,cust_496922,199,USD,2024-06-01,ach,succeeded,2024-06-01 00:00:00
pay_6977182,sub_908323,cust_496922,199,USD,2024-07-01,credit_card,succeeded,2024-07-01 00:00:00
pay_3017414,sub_908323,cust_496922,199,USD,2024-08-01,credit_card,succeeded,2024-08-01 00:00:00
pay_8493277,sub_908323,cust_496922,199,USD,2024-09-01,credit_card,succeeded,2024-09-01 00:00:00
pay_5711903,sub_908323,cust_496922,199,USD,2024-10-01,credit_card,succeeded,2024-10-01 00:00:00
pay_7085903,sub_908323,cust_496922,199,USD,2024-11-01,credit_card,succeeded,2024-11-01 00:00:00
pay_3956450,sub_908323,cust_496922,199,USD,2024-12-01,ach,succeeded,2024-12-01 00:00:00
pay_9480646,sub_381521,cust_338968,79,USD,2023-10-24,ach,succeeded,2023-10-24 00:00:00
pay_9355981,sub_381521,cust_338968,79,USD,2023-11-01,credit_card,succeeded,2023-11-01 00:00:00
pay_4254705,sub_381521,cust_338968,79,USD,2023-12-01,credit_card,succeeded,2023-12-01 00:00:00
pay_1424716,sub_381521,cust_338968,79,USD,2024-01-01,wire,succeeded,2024-01-01 00:00:00
pay_6728364,sub_381521,cust_338968,79,USD,2024-02-01,credit_card,succeeded,2024-02-01 00:00:00
pay_8460988,sub_381521,cust_338968,79,USD,2024-03-01,ach,succeeded,2024-03-01 00:00:00
pay_8213778,sub_381521,cust_338968,79,USD,2024-04-01,ach,succeeded,2024-04-01 00:00:00
pay_7823925,sub_381521,cust_338968,79,USD,2024-05-01,credit_card,succeeded,2024-05-01 00:00:00
pay_1057131,sub_381521,cust_338968,79,USD,2024-06-01,credit_card,succeeded,2024-06-01 00:00:00
pay_2039271,sub_809298,cust_802729,199,USD,2023-10-01,credit_card,succeeded,2023-10-01 00:00:00
pay_6991310,sub_809298,cust_802729,199,USD,2023-11-01,credit_card,succeeded,2023-11-01 00:00:00
pay_2054981,sub_809298,cust_802729,199,USD,2023-12-01,credit_card,succeeded,2023-12-01 00:00:00
pay_7165419,sub_809298,cust_802729,199,USD,2024-01-01,credit_card,succeeded,2024-01-01 00:00:00
pay_1765549,sub_809298,cust_802729,199,USD,2024-02-01,credit_card,succeeded,2024-02-01 00:00:00
pay_3549852,sub_809298,cust_802729,199,USD,2024-03-01,ach,failed,2024-03-01 00:00:00
pay_3989387,sub_809298,cust_802729,199,USD,2024-04-01,credit_card,succeeded,2024-04-01 00:00:00
pay_4125739,sub_809298,cust_802729,79,USD,2024-05-01,credit_card,succeeded,2024-05-01 00:00:00
pay_4269335,sub_809298,cust_802729,79,USD,2024-06-01,credit_card,succeeded,2024-06-01 00:00:00
pay_6052021,sub_809298,cust_802729,29,USD,2024-07-01,credit_card,succeeded,2024-07-01 00:00:00
pay_3070608,sub_809298,cust_802729,29,USD,2024-08-01,credit_card,succeeded,2024-08-01 00:00:00
pay_9876600,sub_809298,cust_802729,29,USD,2024-09-01,credit_card,succeeded,2024-09-01 00:00:00
pay_3759489,sub_809298,cust_802729,29,USD,2024-10-01,credit_card,succeeded,2024-10-01 00:00:00
pay_4323828,sub_809298,cust_802729,29,USD,2024-11-01,ach,succeeded,2024-11-01 00:00:00
pay_6889883,sub_809298,cust_802729,29,USD,2024-12-01,credit_card,succeeded,2024-12-01 00:00:00
pay_7555955,sub_638354,cust_383060,79,USD,2024-10-17,credit_card,succeeded,2024-10-17 00:00:00
pay_1449444,sub_638354,cust_383060,79,USD,2024-11-01,wire,succeeded,2024-11-01 00:00:00
pay_9130904,sub_638354,cust_383060,79,USD,2024-12-01,credit_card,succeeded,2024-12-01 00:00:00
pay_7266775,sub_199074,cust_520651,29,USD,2024-03-01,wire,succeeded,2024-03-01 00:00:00
pay_4577047,sub_199074,cust_520651,29,USD,2024-04-01,credit_card,succeeded,2024-04-01 00:00:00
pay_3529606,sub_199074,cust_520651,29,USD,2024-05-01,ach,succeeded,2024-05-01 00:00:00
pay_4189417,sub_199074,cust_520651,29,USD,2024-06-01,wire,succeeded,2024-06-01 00:00:00
pay_3924375,sub_582515,cust_479580,29,USD,2024-12-01,credit_card,succeeded,2024-12-01 00:00:00
pay_8947055,sub_128117,cust_725380,29,USD,2023-03-07,credit_card,succeeded,2023-03-07 00:00:00
pay_4783293,sub_128117,cust_725380,29,USD,2023-04-01,credit_card,succeeded,2023-04-01 00:00:00
pay_8160876,sub_128117,cust_725380,29,USD,2023-05-01,credit_card,succeeded,2023-05-01 00:00:00
pay_1583149,sub_128117,cust_725380,29,USD,2023-06-01,ach,succeeded,2023-06-01 00:00:00
pay_1821327,sub_128117,cust_725380,79,USD,2023-07-01,wire,succeeded,2023-07-01 00:00:00
pay_1764398,sub_128117,cust_725380,79,USD,2023-08-01,wire,succeeded,2023-08-01 00:00:00
pay_9352271,sub_128117,cust_725380,199,USD,2023-09-01,credit_card,succeeded,2023-09-01 00:00:00
pay_3657425,sub_128117,cust_725380,199,USD,2023-10-01,credit_card,succeeded,2023-10-01 00:00:00
pay_2655412,sub_128117,cust_725380,199,USD,2023-11-01,credit_card,succeeded,2023-11-01 00:00:00
pay_3616757,sub_128117,cust_725380,199,USD,2023-12-01,ach,succeeded,2023-12-01 00:00:00
pay_4728927,sub_128117,cust_725380,199,USD,2024-01-01,wire,succeeded,2024-01-01 00:00:00
pay_4068301,sub_128117,cust_725380,199,USD,2024-02-01,credit_card,succeeded,2024-02-01 00:00:00
pay_9271085,sub_311118,cust_663054,79,USD,2023-10-01,ach,succeeded,2023-10-01 00:00:00
pay_5397952,sub_311118,cust_663054,79,USD,2023-11-01,wire,succeeded,2023-11-01 00:00:00
pay_7753453,sub_311118,cust_663054,79,USD,2023-12-01,ach,succeeded,2023-12-01 00:00:00
pay_8425867,sub_311118,cust_663054,79,USD,2024-01-01,credit_card,succeeded,2024-01-01 00:00:00
pay_4520198,sub_311118,cust_663054,79,USD,2024-02-01,credit_card,succeeded,2024-02-01 00:00:00
pay_3562992,sub_311118,cust_663054,79,USD,2024-03-01,credit_card,succeeded,2024-03-01 00:00:00
