event_id,subscription_id,customer_id,event_type,event_date,plan_id,mrr_change,mrr_after
evt_1892920,sub_767578,cust_770487,subscription_started,2023-04-25 00:00:00,2,29,29
evt_4856420,sub_767578,cust_770487,subscription_upgraded,2023-06-13 00:00:00,3,50,79
evt_5365833,sub_767578,cust_770487,subscription_churned,2023-07-31 00:00:00,3,-79,0
evt_9303225,sub_589824,cust_542417,subscription_started,2023-02-02 00:00:00,1,0,0
evt_2569976,sub_589824,cust_542417,subscription_upgraded,2023-08-20 00:00:00,2,29,29
evt_3046668,sub_127223,cust_331148,subscription_started,2024-04-04 00:00:00,3,79,79
evt_8721431,sub_127223,cust_331148,subscription_churned,2024-09-08 00:00:00,3,-79,0
evt_5518413,sub_791577,cust_900581,subscription_started,2023-12-11 00:00:00,1,0,0
evt_5280939,sub_791577,cust_900581,subscription_churned,2024-12-20 00:00:00,1,0,0
evt_2496331,sub_908323,cust_496922,subscription_started,2023-03-22 00:00:00,3,79,79
evt_9235014,sub_908323,cust_496922,subscription_upgraded,2023-09-30 00:00:00,4,120,199
evt_8097946,sub_381521,cust_338968,subscription_started,2023-10-24 00:00:00,3,79,79
evt_6733527,sub_381521,cust_338968,subscription_churned,2024-06-04 00:00:00,3,-79,0
evt_3601637,sub_809298,cust_802729,subscription_started,2023-10-01 00:00:00,4,199,199
evt_9012989,sub_809298,cust_802729,subscription_downgraded,2024-04-21 00:00:00,3,-120,79
evt_3143956,sub_809298,cust_802729,subscription_downgraded,2024-06-23 00:00:00,2,-50,29
evt_8128865,sub_638354,cust_383060,subscription_started,2024-10-17 00:00:00,3,79,79
evt_5251016,sub_199074,cust_520651,subscription_started,2023-10-02 00:00:00,1,0,0
evt_8765820,sub_199074,cust_520651,subscription_upgraded,2024-02-11 00:00:00,2,29,29
evt_7983542,sub_199074,cust_520651,subscription_churned,2024-06-12 00:00:00,2,-29,0
evt_8633602,sub_412106,cust_774079,subscription_started,2024-04-14 00:00:00,1,0,0
evt_9965341,sub_806120,cust_479580,subscription_started,2023-08-13 00:00:00,2,29,29
evt_2957536,sub_806120,cust_479580,subscription_churned,2023-09-09 00:00:00,2,-29,0
evt_7796309,sub_582515,cust_479580,subscription_reactivated,2024-02-08 00:00:00,1,0,0
evt_1232799,sub_582515,cust_479580,subscription_upgraded,2024-11-03 00:00:00,2,29,29
evt_1266510,sub_582515,cust_479580,subscription_upgraded,2024-12-22 00:00:00,3,50,79
evt_3435283,sub_128117,cust_725380,subscription_started,2023-03-07 00:00:00,2,29,29
evt_8774990,sub_128117,cust_725380,subscription_upgraded,2023-06-19 00:00:00,3,50,79
evt_3557220,sub_128117,cust_725380,subscription_upgraded,2023-08-28 00:00:00,4,120,199
evt_8541631,sub_128117,cust_725380,subscription_churned,2024-02-10 00:00:00,4,-199,0
evt_7572195,sub_311118,cust_663054,subscription_started,2023-10-01 00:00:00,3,79,79
evt_7705523,sub_311118,cust_663054,subscription_churned,2024-07-26 00:00:00,3,-79,0
evt_9185628,sub_719749,cust_287330,subscription_started,2024-06-03 00:00:00,3,79,79
evt_6817736,sub_596330,cust_916449,subscription_started,2024-06-27 00:00:00,2,29,29
evt_4224602,sub_596330,cust_916449,subscription_downgraded,2024-10-14 00:00:00,1,-29,0
evt_9516717,sub_460550,cust_182582,subscription_started,2023-03-29 00:00:00,3,79,79
evt_5922335,sub_460550,cust_182582,subscription_upgraded,2023-10-20 00:00:00,4,120,199
evt_3622515,sub_460550,cust_182582,subscription_downgraded,2024-09-12 00:00:00,3,-120,79
evt_7979059,sub_460550,cust_182582,subscription_upgraded,2024-12-08 00:00:00,4,120,199
evt_1789356,sub_418402,cust_273148,subscription_started,2023-09-29 00:00:00,4,199,199
evt_2068131,sub_418402,cust_273148,subscription_churned,2024-05-05 00:00:00,4,-199,0
evt_3024809,sub_219505,cust_804314,subscription_started,2024-10-27 00:00:00,2,29,29
evt_1783099,sub_923012,cust_717024,subscription_started,2023-08-14 00:00:00,1,0,0
evt_8407441,sub_863729,cust_801474,subscription_started,2024-05-12 00:00:00,2,29,29
evt_7102492,sub_863729,cust_801474,subscription_upgraded,2024-09-15 00:00:00,3,50,79
evt_7975124,sub_989816,cust_299659,subscription_started,2023-04-07 00:00:00,2,29,29
evt_5463001,sub_989816,cust_299659,subscription_downgraded,2023-10-23 00:00:00,1,-29,0
evt_7069566,sub_993796,cust_203198,subscription_started,2023-03-04 00:00:00,3,79,79
evt_6281544,sub_993796,cust_203198,subscription_upgraded,2023-05-30 00:00:00,4,120,199
evt_8417942,sub_775156,cust_392075,subscription_started,2024-04-18 00:00:00,3,79,79
evt_6611860,sub_775156,cust_392075,subscription_upgraded,2024-11-12 00:00:00,4,120,199
evt_3114023,sub_860321,cust_976638,subscription_started,2023-01-16 00:00:00,3,79,79
evt_5340101,sub_860321,cust_976638,subscription_churned,2023-10-07 00:00:00,3,-79,0
evt_8092498,sub_911763,cust_272634,subscription_started,2024-01-24 00:00:00,4,199,199
evt_2005722,sub_911763,cust_272634,subscription_downgraded,2024-04-22 00:00:00,3,-120,79
evt_4961055,sub_575159,cust_921414,subscription_started,2024-07-23 00:00:00,4,199,199
evt_4230541,sub_210338,cust_428838,subscription_started,2023-02-28 00:00:00,2,29,29
evt_2043436,sub_210338,cust_428838,subscription_upgraded,2023-09-07 00:00:00,3,50,79
evt_9213136,sub_822487,cust_723939,subscription_started,2023-03-11 00:00:00,4,199,199
evt_5858523,sub_215695,cust_789305,subscription_started,2024-08-20 00:00:00,3,79,79
evt_1469389,sub_417991,cust_776856,subscription_started,2023-11-04 00:00:00,2,29,29
evt_8075907,sub_417991,cust_776856,subscription_upgraded,2023-12-17 00:00:00,3,50,79
evt_9200596,sub_417991,cust_776856,subscription_downgraded,2024-05-12 00:00:00,2,-50,29
evt_6849358,sub_417991,cust_776856,subscription_upgraded,2024-06-06 00:00:00,3,50,79
evt_3228175,sub_919304,cust_323508,subscription_started,2024-06-02 00:00:00,2,29,29
evt_6456223,sub_919304,cust_323508,subscription_upgraded,2024-12-26 00:00:00,3,50,79
evt_7872422,sub_938663,cust_837715,subscription_started,2023-11-06 00:00:00,4,199,199
evt_4228384,sub_775192,cust_240814,subscription_started,2023-09-28 00:00:00,3,79,79
evt_9951380,sub_775192,cust_240814,subscription_upgraded,2024-12-25 00:00:00,4,120,199
evt_9245549,sub_521315,cust_765046,subscription_started,2023-09-28 00:00:00,3,79,79
evt_2666541,sub_521315,cust_765046,subscription_upgraded,2024-03-22 00:00:00,4,120,199
evt_7832964,sub_521315,cust_765046,subscription_downgraded,2024-07-30 00:00:00,3,-120,79
evt_6457472,sub_521315,cust_765046,subscription_upgraded,2024-09-14 00:00:00,4,120,199
evt_1981497,sub_521315,cust_765046,subscription_churned,2024-11-01 00:00:00,4,-199,0
evt_7926017,sub_203540,cust_449759,subscription_started,2023-05-14 00:00:00,4,199,199
evt_5020206,sub_203540,cust_449759,subscription_downgraded,2023-08-28 00:00:00,3,-120,79
evt_1484969,sub_203540,cust_449759,subscription_upgraded,2024-07-18 00:00:00,4,120,199
evt_8482340,sub_419409,cust_824586,subscription_started,2023-06-02 00:00:00,1,0,0
evt_8795567,sub_419409,cust_824586,subscription_churned,2024-06-10 00:00:00,1,0,0
evt_3808198,sub_750882,cust_934794,subscription_started,2023-02-10 00:00:00,2,29,29
evt_9089743,sub_750882,cust_934794,subscription_churned,2023-03-07 00:00:00,2,-29,0
evt_7377917,sub_363076,cust_348237,subscription_started,2023-06-16 00:00:00,3,79,79
evt_5384902,sub_815234,cust_379766,subscription_started,2023-06-13 00:00:00,2,29,29
evt_3243545,sub_815234,cust_379766,subscription_churned,2024-04-06 00:00:00,2,-29,0
evt_1071793,sub_102146,cust_338651,subscription_started,2023-08-17 00:00:00,2,29,29
evt_1141455,sub_505537,cust_984642,subscription_started,2024-07-03 00:00:00,4,199,199
