subscription_id,customer_id,plan_id,status,billing_cycle,mrr,start_date,end_date,created_at,updated_at
sub_767578,cust_770487,3,churned,annual,0,2023-04-25,2023-07-31,2023-04-25 00:00:00,2023-07-31 00:00:00
sub_589824,cust_542417,2,active,monthly,29,2023-02-02,,2023-02-02 00:00:00,2024-12-31 00:00:00
sub_127223,cust_331148,3,churned,monthly,0,2024-04-04,2024-09-08,2024-04-04 00:00:00,2024-09-08 00:00:00
sub_791577,cust_900581,1,churned,monthly,0,2023-12-11,2024-12-20,2023-12-11 00:00:00,2024-12-20 00:00:00
sub_908323,cust_496922,4,active,annual,199,2023-03-22,,2023-03-22 00:00:00,2024-12-31 00:00:00
sub_381521,cust_338968,3,churned,monthly,0,2023-10-24,2024-06-04,2023-10-24 00:00:00,2024-06-04 00:00:00
sub_809298,cust_802729,2,active,monthly,29,2023-10-01,,2023-10-01 00:00:00,2024-12-31 00:00:00
sub_638354,cust_383060,3,active,monthly,79,2024-10-17,,2024-10-17 00:00:00,2024-12-31 00:00:00
sub_199074,cust_520651,2,churned,monthly,0,2023-10-02,2024-06-12,2023-10-02 00:00:00,2024-06-12 00:00:00
sub_412106,cust_774079,1,active,monthly,0,2024-04-14,,2024-04-14 00:00:00,2024-12-31 00:00:00
sub_582515,cust_479580,3,active,monthly,79,2023-08-13,,2023-08-13 00:00:00,2024-12-31 00:00:00
sub_128117,cust_725380,4,churned,monthly,0,2023-03-07,2024-02-10,2023-03-07 00:00:00,2024-02-10 00:00:00
sub_311118,cust_663054,3,churned,monthly,0,2023-10-01,2024-07-26,2023-10-01 00:00:00,2024-07-26 00:00:00
sub_719749,cust_287330,3,active,annual,79,2024-06-03,,2024-06-03 00:00:00,2024-12-31 00:00:00
sub_596330,cust_916449,1,active,monthly,0,2024-06-27,,2024-06-27 00:00:00,2024-12-31 00:00:00
sub_460550,cust_182582,4,active,monthly,199,2023-03-29,,2023-03-29 00:00:00,2024-12-31 00:00:00
sub_418402,cust_273148,4,churned,monthly,0,2023-09-29,2024-05-05,2023-09-29 00:00:00,2024-05-05 00:00:00
sub_219505,cust_804314,2,active,monthly,29,2024-10-27,,2024-10-27 00:00:00,2024-12-31 00:00:00
sub_923012,cust_717024,1,active,monthly,0,2023-08-14,,2023-08-14 00:00:00,2024-12-31 00:00:00
sub_863729,cust_801474,3,active,monthly,79,2024-05-12,,2024-05-12 00:00:00,2024-12-31 00:00:00
sub_989816,cust_299659,1,active,monthly,0,2023-04-07,,2023-04-07 00:00:00,2024-12-31 00:00:00
sub_993796,cust_203198,4,active,monthly,199,2023-03-04,,2023-03-04 00:00:00,2024-12-31 00:00:00
sub_775156,cust_392075,4,active,monthly,199,2024-04-18,,2024-04-18 00:00:00,2024-12-31 00:00:00
sub_860321,cust_976638,3,churned,annual,0,2023-01-16,2023-10-07,2023-01-16 00:00:00,2023-10-07 00:00:00
sub_911763,cust_272634,3,active,monthly,79,2024-01-24,,2024-01-24 00:00:00,2024-12-31 00:00:00
sub_575159,cust_921414,4,active,monthly,199,2024-07-23,,2024-07-23 00:00:00,2024-12-31 00:00:00
sub_210338,cust_428838,3,active,monthly,79,2023-02-28,,2023-02-28 00:00:00,2024-12-31 00:00:00
sub_822487,cust_723939,4,active,annual,199,2023-03-11,,2023-03-11 00:00:00,2024-12-31 00:00:00
sub_215695,cust_789305,3,active,monthly,79,2024-08-20,,2024-08-20 00:00:00,2024-12-31 00:00:00
sub_417991,cust_776856,3,active,monthly,79,2023-11-04,,2023-11-04 00:00:00,2024-12-31 00:00:00
sub_919304,cust_323508,3,active,monthly,79,2024-06-02,,2024-06-02 00:00:00,2024-12-31 00:00:00
sub_938663,cust_837715,4,active,monthly,199,2023-11-06,,2023-11-06 00:00:00,2024-12-31 00:00:00
sub_775192,cust_240814,4,active,monthly,199,2023-09-28,,2023-09-28 00:00:00,2024-12-31 00:00:00
sub_521315,cust_765046,4,churned,monthly,0,2023-09-28,2024-11-01,2023-09-28 00:00:00,2024-11-01 00:00:00
sub_203540,cust_449759,4,active,monthly,199,2023-05-14,,2023-05-14 00:00:00,2024-12-31 00:00:00
sub_419409,cust_824586,1,churned,monthly,0,2023-06-02,2024-06-10,2023-06-02 00:00:00,2024-06-10 00:00:00
