month_date,month_key,active_customers,new_customers,churned_customers,ending_mrr,new_mrr,expansion_mrr,contraction_mrr,churned_mrr,net_new_mrr,nrr_pct,quick_ratio,arpc
2024-01-01,2024-01,380,34,10,49100,4200,1500,500,300,4900,101.6,7.1,129
2024-02-01,2024-02,410,33,11,54000,4300,1400,500,300,4900,101.2,7.1,132
2024-03-01,2024-03,438,32,11,58900,4300,1400,500,300,4900,101.1,7.1,134
2024-04-01,2024-04,462,30,12,63700,4200,1400,500,300,4800,101.0,7.0,138
2024-05-01,2024-05,490,33,12,68800,4500,1500,600,300,5100,101.0,6.7,140
2024-06-01,2024-06,512,31,13,73600,4200,1400,500,300,4800,100.9,7.0,144
2024-07-01,2024-07,535,31,14,78400,4200,1400,500,300,4800,100.8,7.0,147
2024-08-01,2024-08,556,28,15,82900,4000,1300,500,300,4500,100.6,6.6,149
2024-09-01,2024-09,575,26,17,86800,3600,1200,600,300,3900,100.3,5.3,151
2024-10-01,2024-10,592,22,19,89900,3000,1100,700,300,3100,100.1,4.1,152
2024-11-01,2024-11,604,18,21,92400,2600,1000,800,300,2500,99.8,3.3,153
2024-12-01,2024-12,612,16,22,94820,2620,1000,900,300,2420,99.6,3.0,155
