cohort_month_key,period_label,months_since_signup,cohort_size,active_customers,retention_rate,mrr_retention_from_m0
2024-07,M0,0,48,48,100.0,100.0
2024-07,M1,1,48,41,86.0,88.0
2024-07,M2,2,48,37,78.0,81.0
2024-07,M3,3,48,34,71.0,75.0
2024-07,M4,4,48,32,66.0,70.0
2024-07,M5,5,48,30,62.0,67.0
2024-07,M6,6,48,28,59.0,65.0
2024-08,M0,0,52,52,100.0,100.0
2024-08,M1,1,52,46,88.0,90.0
2024-08,M2,2,52,42,80.0,83.0
2024-08,M3,3,52,38,74.0,78.0
2024-08,M4,4,52,36,69.0,73.0
2024-08,M5,5,52,34,65.0,69.0
2024-09,M0,0,45,45,100.0,100.0
2024-09,M1,1,45,38,85.0,87.0
2024-09,M2,2,45,35,77.0,80.0
2024-09,M3,3,45,32,70.0,74.0
2024-09,M4,4,45,29,64.0,68.0
2024-10,M0,0,60,60,100.0,100.0
2024-10,M1,1,60,54,90.0,92.0
2024-10,M2,2,60,50,83.0,86.0
2024-10,M3,3,60,46,77.0,81.0
2024-11,M0,0,55,55,100.0,100.0
2024-11,M1,1,55,48,87.0,89.0
2024-11,M2,2,55,43,79.0,82.0
2024-12,M0,0,62,62,100.0,100.0
2024-12,M1,1,62,56,91.0,93.0
